"","Country_Standard","OVRFSH","CIVLIB","HAZARDS","RESISTANCE","DAMAGE","PARTICIP","GRAFT","LAW","GOVEFF","POLITY"
"29","Canada",3,1,2.90322580645161,2.25,1.45454545454545,0.93,2.03,1.79,1.88,10
"30","Switzerland",4,1,4,2.625,3,1,2.17,2.03,2.26,10
"31","Chile",7,1.5,3,3.25,2.18181818181818,0.93,1.55,1.3,1.19,9.3
"32","China",7,6.5,3.68965517241379,3.375,3.63636363636364,0.73,-0.41,-0.22,0.18,-7
"33","C<f4>te d'Ivoire",5,4.5,2.48275862068966,2.71428571428571,2.36363636363636,0.57,-0.86,-1.21,-0.89,-1.6
"34","Cameroon",5,6,2.26666666666667,2.5,2.27272727272727,0.61,-1.1,-1.28,-0.62,-4
"35","Democratic Republic of the Congo",6,3.5,2.60869565217391,2.5,3.4,0.58,-1.42,-1.79,-1.6,0
"36","Congo",4,5,2.24137931034483,2.5,1.72727272727273,0.56,-0.94,-1.22,-1.25,-2.3
"37","Colombia",4,4,3.03333333333333,2.5,3.09090909090909,0.82,-0.47,-0.75,-0.39,6.4
"38","Comoros",4,4.5,1.94117647058824,4,4,0.57,-0.73,0.19,-0.84,1.1
"39","Cape Verde",3,1.5,2.27777777777778,4,3.22222222222222,0.42,0.33,0.67,-0.2,2.77006369426752
"40","Costa Rica",4,1.5,3.73333333333333,2.875,3.54545454545455,0.79,0.88,0.67,0.37,10
"41","Cuba",4,7,3,3.125,4.27272727272727,0.71,-0.13,-0.94,-0.26,-7
"42","Cyprus",4,1,3.05,2.85714285714286,3.66666666666667,0.76,0.89,0.74,1,10
"43","Czech Republic",4,1.5,3.5,2,3.5,0.77,0.38,0.74,0.7,10
"44","Germany",5,1,3.74193548387097,2.875,3.81818181818182,1,1.82,1.73,1.76,10
"45","Djibouti",1,4.5,1.88235294117647,2.85714285714286,1.85714285714286,0.63,-0.73,0.67,-0.88,-2.1
"46","Dominica",4,1,2.96,2.75,3.18181818181818,0.39,0.52,1.97,0.32,2.77006369426752
"47","Denmark",6,1,3.74193548387097,2.875,3.18181818181818,0.95,2.26,1.97,1.99,10
"48","Dominican Republic",4,2,2.96296296296296,4,3.63636363636364,0.51,-0.39,-0.43,-0.41,8.2
"49","Algeria",5,5.5,2.73333333333333,2.375,2.90909090909091,0.6,-0.7,-0.54,-0.59,-2.8
"50","Ecuador",6,3,3.26666666666667,2.875,2.54545454545455,0.89,-1.02,-0.6,-0.96,7
"51","Egypt",6,6,3.06666666666667,2.5,3.18181818181818,0.76,-0.29,0.09,-0.32,-5.2
"52","Eritrea",4,6.5,2.40909090909091,2.625,2.8,0.29,0.04,1.15,-0.44,-7.2
"53","Spain",6,1,3.76666666666667,3,3.27272727272727,0.85,1.46,1.15,1.53,10
"54","Estonia",4,1.5,2.89285714285714,2.625,2.72727272727273,0.64,0.66,0.8,0.78,6
"55","Ethiopia",4,5,2.39130434782609,2.5,3.3,0.52,-0.35,-0.44,-0.89,1
